repo,status,seconds
"johnxu22786/spec-driven","FAIL",19966
"leemancheung/dsh-task-dag","ok",5
"johnxu22786/browser-automation","ok",7
"johnxu22786/computer-control","ok",4
"leemancheung/dsh-agent-preset-recommender","ok",5
"zoahdev/dsh-cn-boot","FAIL",3
"chael-chael/dsh-reference-anything","FAIL",10
"wode25500/dsh-winget","ok",5
"geekricardo/dsh-balance","ok",4
"leemancheung/dsh-token-usage","ok",5
"johnxu22786/db-connector","ok",5
"omdsh-dev/dsh-data-agent","ok",11
"aks1st/dock","ok",5
"aks1st/dock-editor","ok",5
"a903067276-rgb/dsh-file-upload","ok",4
"hellosky983/dsh-qrcode","ok",5
"aks1st/dock-git","ok",6
"chouyong/dsh-branch-review","FAIL",3
"chiang21fcb/cn-linebreak","ok",5
"jesse-njx/dsh-polyglot","ok",8
"johnxu22786/snippet-expander","FAIL",3
"omdsh-dev/dsh-at-file","ok",7
"geekricardo/dsh-cordis-mcp","ok",5
"perrylink/dsh-mcp-panel","FAIL",3
"leemancheung/dsh-image-gen","ok",5
"stardustlc666/dsh-ffmpeg","FAIL",3
"aks1st/dock-markdown","ok",5
"omdsh-dev/dsh-annotation","ok",5
"johnxu22786/apply-patch","FAIL",3
"lesliewylie/dsh-ops-kit","ok",5
"letter2025/dsh-model-failover","ok",5
"michengai/dsh-codex-ui","ok",5
"michengai/dsh-im-connect","FAIL",8
"omdsh-dev/dsh-lark","FAIL",3
"omdsh-dev/dsh-inspect","FAIL",5
"perrylink/dsh-observe","FAIL",3
"aks1st/dsh-skill-manager","FAIL",6
"aks1st/model-usage-plugin","FAIL",5
"hellosky983/dsh-foundry","FAIL",5
"adithya-hmt/fullstack-expert","FAIL",5
"hellosky983/dsh-fabric","FAIL",5
"lesliewylie/dsh-fleet-audit","FAIL",5
"lesliewylie/review-workflow","FAIL",5
"perrylink/dsh-auto-review","FAIL",3
"jesse-njx/dsh-tmuxctl","FAIL",5
"wode25500/dsh-ssh-pro","FAIL",6
"jesse-njx/dsh-routines","FAIL",5
"johnxu22786/model-catalog","FAIL",6
"johnxu22786/rss-digest","FAIL",5
"lesliewylie/dsh-session-search-pro","FAIL",5
"johnxu22786/safety-net","FAIL",5
"johnxu22786/secret-guard","FAIL",5
"aks1st/dsh-archived-conversations","FAIL",5
"geekricardo/dsh-convmap","FAIL",5
"johnxu22786/session-export","FAIL",3
"1helloman1/dsh-vision-fallback","FAIL",5
"omdsh-dev/qwen-mm-plugins","FAIL",14
"jesse-njx/dsh-voice","FAIL",3
"stardustlc666/dsh-voice","FAIL",4
"acebang0303/dsh-quick-launch","FAIL",8
"johnxu22786/codegraph","FAIL",7
"zoahdev/dsh-shelf","FAIL",7
